"age","year","count","pop","rate"
"14",2011,3571,61300,582.544861337684
"15",2011,4442,62350,712.42983159583
"16",2011,5005,61800,809.870550161812
"Total 14-16",2011,13018,185450,701.968185494743
"17",2011,NA,NA,NA
"14",2012,3190,60880,523.981603153745
"15",2012,3813,61640,618.591823491239
"16",2012,4542,62780,723.478814909207
"Total 14-16",2012,11545,185300,623.043712898003
"17",2012,NA,NA,NA
"14",2013,2679,60130,445.534674871113
"15",2013,3236,61300,527.8955954323
"16",2013,3832,62260,615.483456472856
"Total 14-16",2013,9747,183690,530.62224399804
"17",2013,NA,NA,NA
"14",2014,2298,60730,378.396179812284
"15",2014,2679,60490,442.883121177054
"16",2014,2988,61940,482.402324830481
"Total 14-16",2014,7965,183160,434.865691198952
"17",2014,NA,NA,NA
"14",2015,1972,62010,318.013223673601
"15",2015,2265,61350,369.19315403423
"16",2015,2606,61240,425.538863487916
"Total 14-16",2015,6843,184600,370.693391115926
"17",2015,NA,NA,NA
"14",2016,1842,60390,305.0173869846
"15",2016,2137,63040,338.991116751269
"16",2016,2274,62250,365.301204819277
"Total 14-16",2016,6253,185680,336.762171477811
"17",2016,NA,NA,NA
"14",2017,1660,59200,280.405405405405
"15",2017,1939,61640,314.568462037638
"16",2017,2110,64340,327.945290643457
"Total 14-16",2017,5709,185180,308.294632249703
"17",2017,NA,NA,NA
"14",2018,1696,60330,281.120503895243
"15",2018,1839,60460,304.168044988422
"16",2018,2101,62940,333.809977756594
"Total 14-16",2018,5636,183730,306.754476677734
"17",2018,NA,NA,NA
"14",2019,1652,61100,270.37643207856
"15",2019,1668,61320,272.015655577299
"16",2019,1937,61600,314.448051948052
"Total 14-16",2019,5257,184020,285.675470057602
"17",2019,NA,NA,NA
"14",2020,1514,62040,244.036105738233
"15",2020,1630,62220,261.973641915783
"16",2020,1883,62330,302.101716669341
"Total 14-16",2020,5027,186590,269.414223699019
"17",2020,2067,62340,331.568816169394
"14",2021,1402,64110,218.686632350647
"15",2021,1536,62540,245.602814198913
"16",2021,1615,62810,257.124661678077
"Total 14-16",2021,4553,189460,240.314578275098
"17",2021,2066,62630,329.873862366278
