"level","year","count","prop"
"Low",2011,3986,30.6191427254571
"Low-Medium",2011,4010,30.8035028422185
"Medium",2011,1770,13.5965586111538
"Medium-High",2011,2346,18.0212014134276
"High",2011,906,6.95959440774312
"Low",2012,3578,30.9917713295799
"Low-Medium",2012,3274,28.3585967951494
"Medium",2012,1590,13.7721957557384
"Medium-High",2012,2251,19.4976180164573
"High",2012,852,7.37981810307492
"Low",2013,2882,29.568072227352
"Low-Medium",2013,2789,28.6139324920488
"Medium",2013,1403,14.3941725659177
"Medium-High",2013,1954,20.0471940084128
"High",2013,719,7.3766287062686
"Low",2014,2335,29.3157564344005
"Low-Medium",2014,2183,27.4074074074074
"Medium",2014,1231,15.4551161330822
"Medium-High",2014,1670,20.9667294413057
"High",2014,546,6.85499058380414
"Low",2015,1738,25.398217156218
"Low-Medium",2015,1835,26.815724097618
"Medium",2015,1147,16.7616542452141
"Medium-High",2015,1510,22.066345170247
"High",2015,613,8.95805933070291
"Low",2016,1537,24.5802015032784
"Low-Medium",2016,1558,24.9160403006557
"Medium",2016,1006,16.0882776267392
"Medium-High",2016,1532,24.5002398848553
"High",2016,620,9.91524068447145
"Low",2017,1319,23.1038710807497
"Low-Medium",2017,1236,21.6500262743037
"Medium",2017,1000,17.5162024873008
"Medium-High",2017,1473,25.801366263794
"High",2017,681,11.9285338938518
"Low",2018,1408,24.9822569198013
"Low-Medium",2018,1118,19.8367636621718
"Medium",2018,1041,18.4705464868701
"Medium-High",2018,1402,24.8757984386089
"High",2018,667,11.8346344925479
"Low",2019,1310,24.9191554118318
"Low-Medium",2019,989,18.8130112231311
"Medium",2019,1061,20.1826136579798
"Medium-High",2019,1272,24.1963096823283
"High",2019,625,11.8889100247289
"Low",2020,2030,28.6157316041725
"Low-Medium",2020,1423,20.0592049619397
"Medium",2020,1293,18.2266704257119
"Medium-High",2020,1560,21.9904144347336
"High",2020,788,11.1079785734423
"Low",2021,2119,32.0138993805711
"Low-Medium",2021,1098,16.5886085511407
"Medium",2021,1281,19.3533766429974
"Medium-High",2021,1345,20.3202900740293
"High",2021,776,11.7238253512615
