"Method of Proceeding","year","number","prop"
"Court",2011,2687,20.6406514057459
"ITC FGC",2011,1280,9.83253956060839
"Alternative Actions",2011,4253,32.6701490244277
"Warning/Caution",2011,4581,35.1897372868336
"Other",2011,217,1.66692272238439
"Court",2012,2397,20.7622347336509
"ITC FGC",2012,1226,10.6193157210914
"Alternative Actions",2012,3761,32.5768731052404
"Warning/Caution",2012,4027,34.880900822867
"Other",2012,134,1.16067561715028
"Court",2013,1905,19.5444752231456
"ITC FGC",2013,1017,10.4339796860572
"Alternative Actions",2013,3455,35.4468041448651
"Warning/Caution",2013,3273,33.5795629424438
"Other",2013,97,0.995178003488253
"Court",2014,1551,19.4726930320151
"ITC FGC",2014,849,10.6591337099812
"Alternative Actions",2014,2760,34.6516007532957
"Warning/Caution",2014,2778,34.8775894538606
"Other",2014,27,0.338983050847458
"Court",2015,1425,20.8241999123192
"ITC FGC",2015,742,10.8431974280286
"Alternative Actions",2015,2400,35.0723366944323
"Warning/Caution",2015,2255,32.9533830191437
"Other",2015,21,0.306882946076282
"Court",2016,1431,22.8850151927075
"ITC FGC",2016,623,9.96321765552535
"Alternative Actions",2016,2351,37.5979529825684
"Warning/Caution",2016,1835,29.3459139612986
"Other",2016,13,0.207900207900208
"Court",2017,1417,24.8204589245052
"ITC FGC",2017,564,9.87913820283763
"Alternative Actions",2017,2303,40.3398143282536
"Warning/Caution",2017,1402,24.5577158871957
"Other",2017,23,0.402872657207917
"Court",2018,1258,22.3207948899929
"ITC FGC",2018,487,8.64088005677786
"Alternative Actions",2018,2656,47.125621007807
"Warning/Caution",2018,1225,21.7352732434351
"Other",2018,10,0.177430801987225
"Court",2019,1067,20.2967471942172
"ITC FGC",2019,396,7.53281339166825
"Alternative Actions",2019,2479,47.1561727220848
"Warning/Caution",2019,1304,24.8050218755944
"Other",2019,11,0.209244816435229
"Court",2020,1346,18.9737806597124
"ITC FGC",2020,435,6.1319424866084
"Alternative Actions",2020,3135,44.1922751621088
"Warning/Caution",2020,2122,29.9126021990414
"Other",2020,56,0.789399492528898
"Court",2021,1095,16.543284484061
"ITC FGC",2021,514,7.76552349297477
"Alternative Actions",2021,3082,46.5629249131289
"Warning/Caution",2021,1897,28.6599184166793
"Other",2021,31,0.468348693156066
